project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-28 18:30:00,2022-03-28 12:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.6,12.57,124,NA,65.91,59.98538667,62.77402989,9.97,,,,,M,,,,
AIMS,2022-03-28 18:45:00,2022-03-28 12:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.6,12.57,124,NA,65.73,59.82156677,62.56878477,9.85,,,,,M,,,,
AIMS,2022-03-28 19:00:00,2022-03-28 13:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.7,12.57,124,NA,65.63,59.73305077,62.46776519,9.82,,,,,M,,,,
AIMS,2022-03-28 19:15:00,2022-03-28 13:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.6,12.57,124,NA,65.55,59.66023889,62.37195564,9.75,,,,,M,,,,
AIMS,2022-03-28 19:30:00,2022-03-28 13:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.7,12.58,124,NA,65.41,59.53281809,62.28359786,9.91,,,,,M,,,,
AIMS,2022-03-28 19:45:00,2022-03-28 13:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.7,12.58,124,NA,65.37,59.49641214,62.25952113,9.96,,,,,M,,,,
AIMS,2022-03-28 20:00:00,2022-03-28 14:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.5,94.7,12.58,124,NA,65.27,59.40787887,62.11371948,9.77,,,,,M,,,,
AIMS,2022-03-28 20:15:00,2022-03-28 14:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.5,94.7,12.58,124,NA,65.25,59.38967514,62.08629784,9.74,,,,,M,,,,
AIMS,2022-03-28 20:30:00,2022-03-28 14:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.51,94.8,12.58,123,NA,65.2,59.34664493,62.0385197,9.73,,,,,M,,,,
AIMS,2022-03-28 20:45:00,2022-03-28 14:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.54,94.8,12.58,123,NA,65.19,59.34498017,62.04236758,9.75,,,,,M,,,,
AIMS,2022-03-28 21:00:00,2022-03-28 15:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.58,94.8,12.57,123,NA,65.06,59.23653591,61.90668379,9.67,,,,,M,,,,
AIMS,2022-03-28 21:15:00,2022-03-28 15:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.62,94.8,12.55,123,NA,64.96,59.15537468,61.85528526,9.79,,,,,M,,,,
AIMS,2022-03-28 21:30:00,2022-03-28 15:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.66,94.8,12.53,123,NA,64.81,59.02864653,61.69776024,9.7,,,,,M,,,,
AIMS,2022-03-28 21:45:00,2022-03-28 15:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.69,94.7,12.51,123,NA,64.71,58.94495898,61.62971507,9.77,,,,,M,,,,
AIMS,2022-03-28 22:00:00,2022-03-28 16:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.77,94.8,12.5,122,NA,64.59,58.85533429,61.46951548,9.53,,,,,M,,,,
AIMS,2022-03-28 22:15:00,2022-03-28 16:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.8,94.7,12.47,122,NA,64.54,58.81715292,61.44347929,9.58,,,,,M,,,,
AIMS,2022-03-28 22:30:00,2022-03-28 16:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.95,95,12.46,122,NA,64.33,58.6625783,61.31237769,9.69,,,,,M,,,,
AIMS,2022-03-28 22:45:00,2022-03-28 16:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.1,95.1,12.43,121,NA,64.12,58.50780947,61.14510926,9.67,,,,,M,,,,
AIMS,2022-03-28 23:00:00,2022-03-28 17:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.18,95,12.39,121,NA,63.94,58.36311756,61.01312883,9.74,,,,,M,,,,
AIMS,2022-03-28 23:15:00,2022-03-28 17:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.24,95,12.37,121,NA,63.83,58.27736019,60.90975921,9.69,,,,,M,,,,
AIMS,2022-03-28 23:30:00,2022-03-28 17:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.29,94.9,12.35,120,NA,63.69,58.16172476,60.77521069,9.64,,,,,M,,,,
AIMS,2022-03-28 23:45:00,2022-03-28 17:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.38,94.9,12.32,120,NA,63.55,58.05577582,60.67269972,9.67,,,,,M,,,,
AIMS,2022-03-29 00:00:00,2022-03-28 18:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.44,94.9,12.29,119,NA,63.43,57.96073143,60.62249329,9.85,,,,,M,,,,
AIMS,2022-03-29 00:15:00,2022-03-28 18:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.54,94.9,12.26,119,NA,63.26,57.82964253,60.48810767,9.86,,,,,M,,,,
AIMS,2022-03-29 00:30:00,2022-03-28 18:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.65,94.9,12.23,119,NA,63.07,57.68257389,60.35329462,9.93,,,,,M,,,,
AIMS,2022-03-29 00:45:00,2022-03-28 18:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.73,94.9,12.19,118,NA,62.9,57.54641949,60.20812585,9.92,,,,,M,,,,
AIMS,2022-03-29 01:00:00,2022-03-28 19:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.8,94.9,12.18,118,NA,62.72,57.3986107,60.12649128,10.19,,,,,M,,,,
AIMS,2022-03-29 01:15:00,2022-03-28 19:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.85,94.9,12.16,117,NA,62.68,57.3740535,60.16026034,10.41,,,,,M,,,,
AIMS,2022-03-29 01:30:00,2022-03-28 19:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.91,94.9,12.14,117,NA,62.58,57.29696111,60.0659189,10.36,,,,,M,,,,
AIMS,2022-03-29 01:45:00,2022-03-28 19:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.93,94.9,12.13,117,NA,62.46,57.19189812,59.99352736,10.5,,,,,M,,,,
AIMS,2022-03-29 02:00:00,2022-03-28 20:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.95,94.9,12.14,116,NA,62.26,57.0135588,59.88174469,10.78,,,,,M,,,,
AIMS,2022-03-29 02:15:00,2022-03-28 20:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.96,94.9,12.13,116,NA,61.93,56.71375038,59.71944815,11.35,,,,,M,,,,
AIMS,2022-03-29 02:30:00,2022-03-28 20:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.97,95,12.14,115,NA,61.69,56.49633967,59.562578,11.62,,,,,M,,,,
AIMS,2022-03-29 02:45:00,2022-03-28 20:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.08,95,12.11,115,NA,61.84,56.65990791,59.64937268,11.3,,,,,M,,,,
AIMS,2022-03-29 03:00:00,2022-03-28 21:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.15,95.1,12.09,115,NA,61.63,56.48412537,59.70726726,12.21,,,,,M,,,,
